昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
濯锦 江头 小 佛庐|二三 良友 亦 同居|僧敲 暮鼓 朝钟 处|舒卷 一编 贤圣 书
东别 家山 十六 程|晓来 和月 到 华清|朝元 阁下 西风 急|都入 长杨 作 雨声
但看 七里 花 成市|肯信 三生 石 点头|自是 江南 佳丽 地|吴侬 知乐 不知 愁
霜严 戈壁 驼峰 兀|风卷 穹庐 鸟阵 惊|到此 不须 愁 寂寞|雪山 长傍 马头 明
芳兰 气味 海棠 神|并作 庭前 锦样 真|风叶 似来 遗佩 女|露腮 如遇 泣珠 人
五岳 藏 玄草|三天 坠 白榆|庭阶 双玉 在|雪涕 茂陵 书
追琢 凭 君好|摩娑 取 自娱|毋贻 美人 去|博得 锦 襜褕
器重 连城 价|心澄 古井 波|传家 衣钵 在|衮衮 并 儒科
明时 台谏 道俱 申|琐闼 留朝 讽议 臣|补衮 宣年 多 志意|探书 禹穴 旧 经纶
剩喜 孟龙 来 并世|肯呼 祢鹗 与 忘年|闭门 笄珥 无 膏沐|不作 倾城 冯 小怜
病来 思 自养|此去 或 同春|送老 须 何物|窗明 贝叶 新
岭海 断云 归雁 底|江湖 春浪 白鸥 前|故人 相见 问 今我|雨笠 烟蓑 事 力田
莺狂 犹妄 起 羞口|蝶老 未知 求 放心|解道 不如 归去 语|得非 知礼 识机 禽
陋巷 少 行迹|故人 车马 稀|世情 方 汩没|吾道 肯 依违
功名 万里 驾 龙荒|不作 当年 陛楯 郎|颜角 久瞻 天 上日|鬓毛 未点 镜 中霜
华堂 掩映 一池 清|著此 崔巍 若 化成|胸次 玲珑 具 丘壑|世间 髣髴 见 蓬瀛
旧识 藤州 簟|清寒 惬 病夫|深宜 荐 黄妳|真可 配 青奴
十首 诗成 尽 可怜|怜他 只影 小 窗前|也知 岭外 归来 客|独宿 松间 十 七年
梦隔 春云 海 路长|杨花 飞尽 莫 思乡|闽南 不是 无 青柳|海国 遥闻 已种 桑
单衣 迎犯 晓 风清|斗柄 回南 月尚 明|柳密 行人 看 不见|轮蹄 相属 但闻 声
闲将 水石 侵 军垒|醉引 笙歌 上 钓船|无限 恩波 犹在 目|东风 吹起 细 漪涟
乱委 无非 瑞|才消 便是 春|多年 闻 混沌|今日 见 纯真
对灶 何妨 客 燎衣|溪翁 且莫 键 柴扉|日之 夕矣 樵风 冷|觳觫 一牛 将 犊归
鲁直 尚能 推 大国|长卿 谁可 诧 长城|二桃 三士 抱 吟膝|我所 师兮 葛 孔明
战骨 多 沉海|芦花 又 戴霜|六朝 先后 灭|何处 说 兴亡
金门 倦 鸣玉|千骑 出 东方|封略 依 沧海|枌榆 近 故乡
饭已 抄经 临 小楷|兴馀 挥句 落 斜行|不堪 平日 诗 千首|刚被 人求 米 万箱
无故 干戈 动|元元 骨 未寒|屠民 兵 最勇|御侮 将 偏难
画角 晓催 龙 首月|牙旗 秋卷 雁 门风|黄花 岭外 烽长 静|缓带 轻裘 好 射熊
春阴 微雨 霰|梅鹤 访 林逋|锦石 花边 榻|名泉 竹下 厨
几年 分阃 作 遨头|又拥 皇华 岁 两周|岂有 休声 勤 注倚|尚持 英簜 但 咨诹
拟将 威斗 却 居延|捧罢 珠盘 事 渺然|龙斗 几人 开 贝阙|鹤归 何处 问 芝田
钓影 垂 潭月|樵歌 出 岭云|殷勤 一瓢 水|侑此 井中 芹
独鸟 飞 天外|闲云 度 陇头|姓名 君 莫问|山木 与 虚舟
扬眉 瞬目 若为 传|尧似 蓬心 舜 似膻|诗瘦 自嫌 蔬笋 气|言多 人谓 野狐 禅
少学 真 华国|郎潜 劣 晚逢|几看 新贵 驶|独抱 古文 终
蛾眉 翻自 累|万里 陷 穷边|滴泪 胡 风起|宽心 汉 月圆
路迷 人 屡问|路险 骑 常停|折柳 新能 绿|看山 近失 青
拈花 微笑 禅 堪学|斫地 高歌 剑 亦鸣|兀兀 堂堂 成 底事|逢君 且作 白 鸥盟
衰鬓 数茎 雪|空囊 一卷 诗|儒衣 例 如此|惜也 不 逢时
雪裹 空身 无 庇叶|风前 妙质 忽 飞尘|一襦 不著 中 寒去|莫是 陈三 辈 行人
芦荻 似 江乡|迎寒 花已 霜|一亭 伴 秋水|数客 语 斜阳
顶上 巢新 鹊|衣中 带旧 珠|谈禅 未得 去|辍棹 且 踟蹰
手把 长长 竹 摝篱|与爷 同乐 又 同悲|轻如 毫末 重 山岳|十字 街头 卖 与谁
叠嶂 和云 灭|孤城 与岭 通|谁知 持 惠化|一境 动 清风
太息 风尘 老 郭隗|夕阳 瘦马 又 燕台|诗声 疑挟 黄河 至|画意 添将 红药 开
不求 玉杵 杵|不要 水银 银|但祝 未来 世|长为 无病 人
濛濛 海色 闻 边角|莽莽 春愁 上 酒旗|斜日 下山 谋 一醉|红棉 开遍 越王 祠
黑手 遮天 恶 胆张|红潮 卷地 反 旗扬|忍教 世态 如 汤火|惊见 人心 似 虎狼
芒鞋 青 竹杖|自挂 百钱 游|可怪 深山 里|人人 识 故侯
灵祠 躬祷 极 伸虔|唯恐 愆阳 病 晚田|不恨 高楼 空 宴月|却欣 丰泽 入 民天
怪绝 乾坤 事|伤哉 君子 心|白头 湖 上友|万里 忽 分襟
礼若 传 尧旧|功疑 复 夏初|梦游 长 不返|何国 是 华胥
世岂 无 全德|今犹 见 古人|大圭 非 刻画|天醴 自 清醇
希文 健笔 钞 韩文|文为 首阳 山 下人|宁止 一言 旌 义士|欲教 万古 劝 忠臣
莫话 风尘 事|相怜 但 酒卮|挑灯 花 转艳|倚槛 月 初垂
旧池 龟去 必 巢莲|龙隧 愁看 锦 水边|肯与 玉人 俱 远宦|自怜 王母 已 高年
南夏 英风 挹此 村|参天 五桂 古香 存|潮流 浩荡 思 前哲|民主 精神 万宇 尊
暗雨 落 漫漫|山中 五月 寒|大江 浑 不觉|溪壑 有 惊湍
乡里 徵兵 连 岁尽|郡边 临海 一 潮通|眼前 世事 谁 长策|此日 东南 独倚 公
海外 无 鸿到|鹰飞 春已 残|中原 人 不识|认作 雁行 看
夕阳 半落 红 犹在|寒月 初升 白 未匀|流水 孤村 天 欲暮|颓檐 败壁 野 无人
涉世 恨 形役|告休 成 老夫|良欣 就 归路|不复 向 迷途
弦冻 未应 停 绿绮|胶强 仍喜 彀 黄间|平铺 万顷 茅檐 冷|欲问 城居 几日 还
不称 好文 亲 翰墨|自嗟 多病 足 风情|一生 肝胆 如 星斗|嗟尔 顽铜 岂见 明
鸟语 前山 树|人烟 远岸 村|扁舟 追 李郭|佳句 落 芳尊
东曹 旧吏 迎 仙客|南署 新衔 带 奉常|何日 邹枚 归 侍从|赐袍 还挹 御 炉香
天末 有怀 看 易老|客中 无计 可 容疏|何时 投传 来 东海|还向 蓬莱 一 卜居
万里 为 兄弟|交情 岂 偶然|欢娱 曾 几日|契阔 又 穷边
翁仲 秋苔 衣 只孙|枭鸣 起辇 峪 黄昏|幔城 此日 荒 银海|幄殿 当时 驻 铁门
日轮 山罅 出|露点 草头 明|处处 防 豺虎|田家 晏始 耕
裘马 五陵 同学 辈|云龙 下上 日 相亲|那知 到老 交游 尽|落落 孤踪 剩 此身
六十 遇 明主|家空 无 一廛|百年 今 共尽|五福 晚 兼全
耿侯 遗迹 在|怀古 溯 潺湲|春浪 沙纹 浅|耕花 战血 斑
紫坛 云雾 切 三台|玉趾 将临 画鼓 催|列炬 照天 驰道 远|佩声 遥自 半空 来
夜寂 心尘 净|天清 眼界 宽|明朝 复 携酒|来听 鸟 关关
天家 旌旆 下 重关|朝会 花冠 震 百蛮|两观 已悬 新 铁钺|群官 犹恋 旧 行班
瞢腾 幽 梦破|酝造 小 诗成|好在 归来 燕|营巢 占 画楹
夭桃 秾李 间 垂杨|青鬓 朱唇 杂 粉光|歌罢 采芳 人 不见|落花 无数 点 回塘
江上 晴光 照眼 浓|十分 春色 满城 东|客怀 何限 湘波 绿|漕事 方殷 汉粟 红
忽闻 诛 寇盗|莫厌 事 兵戈|卖剑 今 谁是|愁云 渺 大河
风外 看花 尽|烟中 望柳 繁|静观 时物 变|独立 思 千端
城市 苦 歊暑|寻凉 到 水穷|环林 得 高荫|解带 取 微风
月冷 珠帘 彻底 清|银床 冰簟 梦 难成|秋空 万里 无 云气|桐叶 翻阶 作 雨声
晓放 宫门 钥|霜雕 辇路 槐|班回 独 小立|为待 绣鞍 来
几日 春江 正 上潮|晚峰 两岸 去 迢迢|篷窗 睡足 三更 雨|知过 山阴 第几 桥
多情 蝶粉 扑 香沈|芳簇 幔城 教 客钦|非赖 清芬 薰 倜傥|于花 深处 绣 诗心
望郎 如 枣子|今夜 可 来来|莫使 流黄 月|清光 拂 不开
迂儒 法士 就鸡 连|犹复 拘拘 诧 瓮天|度外 有人 能 好客|一樽 容我 赋 超然
杨子 江头 秋意 深|金山 下蛰 雨 云阴|可怜 赴海 东 流水|不及 归人 万里 心
语论 常 惊座|精神 迥 照人|中途 多 坎壈|久疾 遂 湮沦
消闲 无计 闷 谁同|小趁 湖堤 澹澹 风|归浦 渔舟 喧 渐息|空馀 鸥渚 夕烟 红
待诏 明廷 百 有馀|一人 释褐 向 江都|诸生 对策 无奇 语|田窦 何曾 不喜 儒
交承 紫掖 追随 旧|递宿 金銮 契分 申|人事 天时 已 如此|更看 坯甈 累 陶钧
不将 柔橹 钉桩 摇|等视 安流 与 怒潮|若谓 他家 本 无事|须知 滴水 也 难消
君王 斋戒 集 灵台|玉露 金茎 不满 杯|宫里 琪花 千万 树|那能 承露 一齐 开
谷中 草木 几 经春|敕额 犹存 古隶 文|千里 耕桑 安 土俗|一炉 香火 奉 山君
泛露 光偏 乱|含风 影自 斜|俗人 那解 此|看叶 胜 看花
五桂 必攀 昆季 爽|三荆 不析 户庭 春|梦中 犹识 三 溪路|安得 登堂 列 下宾
应将 笔砚 随 诗主|定有 笙歌 伴 酒仙|祗候 高情 无别 物|苍苔 石笋 白花 莲
落笔 无因 似 退之|每逢 佳致 却如 痴|孤高 全露 秋来 骨|无复 山红 涧碧 时
松韵 笙竽 径|云容 水墨 天|人行 春色 里|莺语 落花 边
春去 已空 衣尚 絮|雨来 何晚 稻初 芒|祗今 农事 村村 急|第一 先陂 贮水 塘
忽看 长剑 倚天 愁|坐读 新诗 满院 幽|隔岸 梅花 春 带雪|澄江 月色 晓 凌秋
应缘 南国 尽 南宗|欲访 灵溪 路暗 通|归思 不离 双 阙下|去程 犹在 四 明东
外家 忠厚 世 多才|挑辔 相过 一笑 开|珍重 年光 记 亲戚|绵延 义脉 到 云来
偷腊 槛梅 暄 媚眼|美寒 山筱 晚 伤神|虚传 夜雪 能 乘兴|不见 山阴 鼓柁 人
凭陵 侠骨 千秋 起|辽落 穷心 径寸 悬|莫道 相酬 无 玉案|郢人 能重 郢中 篇
寇公 家计 魏 三诗|鼎鼐 楼台 绝妙 词|廉吏 儿孙 贫 不讳|先人 清白 世 元知
语罢 每开 欢笑 口|诗来 仍掉 苦吟 头|已知 轩冕 真吾 累|且可 追随 马 少游
夜深 风雪 骤|叩户 感 乡愁|儿女 啼 多病|亲朋 愧 少酬
云间 双剑 峰|壁立 望 西东|天地 本无 外|江山 还自 通
万年 枝上 彩 裁绿|千叶 花头 酥 点红|镜绶 囊丝 相映 烛|探先 半月 庆 流虹
绿荔 戎州 近|青兰 楚泽 违|穷源 张 博望|汉上 几时 归
世德 书 青史|荣名 在 本朝|如何 元士 葬|不得 大夫 招
日本 狂奴 扰 浙东|将军 闻变 气 如虹|沙头 列阵 烽烟 黑|夜半 鏖兵 海水 红
漠漠 荒山 仗佛 开|千年 古木 半 摧颓|惟应 一勺 灵泉 水|曾照 元和 太守 来
寄怀 因 桂水|流泪 极 枫江|此日 南来 使|金盘 鱼 一双
廷尉 园池 傍 柳塘|自携 魏紫 访 姚黄|问它 濯锦 江头 路|共汉 梁王 醉 几场
都亭 尊酒 别|秋叶 照 离筵|菊绽 燕台 下|松哦 越峤 前
几岁 谈经 傍 日边|新恩 仍许 石头 传|衣冠 太学 诸生 候|礼乐 中兴 圣主 年
建康 姑孰 雪 飞时|庾亮 楼中 坐 赋诗|春送 一枝 钟阜 早|江头 南望 寄 相思
陈登 百尺 容 高卧|罗隐 三生 傥 再来|南国 风流 今 未艾|乡关 庾信 不须 哀
山远 眼随 飞鸟 入|溪清 身与 戏鱼 游|遥观 九曲 山如 锁|说与 篙人 缓 放舟
镫雨 今宵 酒|帆风 明日 舟|从今 梦 相见|老眼 在 心头
斋馆 坐 岑寂|雨声 荆楚 秋|风高 木叶 下|天远 汉江 流
野树 分 秋色|庭花 坐 似春|青云 原 不坠|绿蚁 且 相亲
波摇 鹦鹉 洲前 月|霜落 芙蓉 镜里 秋|何事 王孙 邀 授简|不堪 乘兴 雪中 舟
天寒 细雨 还成 雪|日暖 晴云 却 护霜|可惜 梅花 残 腊月|十分 天色 似 江乡
把钓 须 谋酒|扬舲 恰 爱人|悠然 吾 羡汝|天宇 渐 为邻
林鸟 千回 啭|园桃 一半 飞|韶光 处处 好|结伴 采 芳菲
身是 归休 客|心如 入定 僧|西园 曾到 不|要学 仲舒 能
劳劳 送客 处|离绪 不堪 陈|独喜 法 曹吏|今推 儒 行人
斗酒 双柑 听鹂 语|白沙 翠竹 梦鸥 乡|题诗 多事 传 人日|车马 年年 到 草堂
礧砢 不 坡陁|非才 谢 伐柯|相看 如我 瘦|想见 阅人 多
野色 抽 寒麦|春声 唤 暝鸠|行人 本 田父|荷笠 爱 驱牛
官梅 一树 小池 头|春意 冲寒 破 客愁|花萼 生光 动 诗兴|全胜 何逊 在 扬州
官道 苍茫 多 水驿|客游 飘泊 厌 风餐|剡中 此去 无多 地|会约 支公 听 断猿
书就 怀人 句|师门 第 一春|萧骚 岷 岭外|寂历 鹭 江滨
品泉 暗识 南零 味|鉴茗 多藏 北苑 真|且著 青袍 居 膝下|少年 未羡 折腰 人
人物 竞 纷华|骊驹 逐 钿车|此时 松与 柏|不及 道傍 花
雷雨 垂 膏泽|金钱 赠 下人|诏酺 欢赏 遍|交泰 睹 惟新
露鬣 风鬃 锦 彩鲜|登床 胡旋 更 翩翩|青骡 祇识 连云 栈|不解 衔杯 献 御筵
池馆 寂 无尘|翛然 物外 身|已知 生 是幻|一任 老 随人
金鱼 定想 娇儿 觅|鸾镜 难忘 舞影 存|昨夜 天风 欺 独客|青绫 吹透 不成 温
解忧 醇酒 难为 力|遭乱 文章 倘有 神|张俭 望门 憔悴 甚|并无 锥卓 是真 贫
天际 归舟 浩荡 中|我关 王泽 道 何穷|未为 时彦 徒 经国|尚有 边兵 耻 佐戎
海内 弟兄 灯火 夜|天涯 风雨 芰荷 花|酒酣 按剑 心 千里|莫唱 骊驹 易 忆家
源脉 滔滔 古岸 头|往来 终是 碍 行舟|无风 激起 千寻 浪|到海 方知 是 逆流
盘石 以为 磴|萦纡 上 翠岑|披云 瞩 佳境|适此 慰 登临
元戎 小队 出郊 垧|落絮 游丝 亦 有情|纵酒 欲谋 良夜 醉|系帆 何惜 片时 程
诸侯 开幕 总 临戎|明月 闲窥 避暑 宫|海上 兵戈 连 白塞|中原 王气 望 青葱
转侧 频 忧患|因怜 马 少游|迹方 难 瀚海|梦尚 隔 神州
薇省 辞 黄鹤|兰桡 伴 白鸥|岸回 江月 抱|天迥 夕云 流
岩栖 拟远 人间 世|翻为 山深 到日 稀|石室 雨苔 还 绣几|洞门 秋草 欲 钩衣
成名 常 自美|遗范 久 何如|东阜 田园 在|西山 县郭 虚
公说 曹溪 事|经今 六 百年|庵基 平地 筑|碑记 远人 传
一岩 洞空 挂 云山|巧印 穹苍 半璧 环|只为 广寒 宫殿 远|故留 阙月 在 人间
里树 春烟 断|山城 夕照 衔|何时 已 行役|归结 桂 松庵
浩茫 沧海 欲 扬舲|翻恐 狂鲨 嗜 血腥|滴尽 文山 忧国 泪|南沙 望断 叹 零丁
玉京 才子 宴 瑶池|雪压 梅梢 春近 时|尽道 舜江 登 舜牧|却归 尧殿 侍 尧咨
乾坤 作戏 未逢 场|人力 天心 两 渺茫|粉黛 纵工 愁 掩袖|菁华 如竭 忍 搴裳
萧萧 征马 惊 人路|瑟瑟 阴风 古 战场|始信 当年 慈母 训|临行 切切 著 棉装
辰回 岁舍 谁 称寿|禄尽 星屏 世 恨才|旅旐 欲东 曾未 发|江乡 吟吊 不胜 哀
榆柳 清阴 下|茅亭 近水 湄|抵檐 栽 美竹|横榻 赋 新诗
地古 多生 药|溪灵 不聚 鱼|唯应 寻 隐者|闲寺 讲 仙书
纵横 肴馔 列 芳筵|疑在 瑶池 胜会 前|清酒 百壶 供 我醉|灵椿 古柏 祝君 年
送客 归山 天正 霜|吴江 蟹美 橘 初黄|上林 千树 樱桃 熟|莫恋 金华 是 故乡
倚杖 溪桥 暮雨 垂|春寒 空翠 著人 衣|凌空 怪石 如 旗竖|喷壑 清泉 作 练飞
冶尽 人间 世|矗然 存此 宫|廊回 斜 落月|钟老 咽 秋风
车才 闭户 成|轮未 碾 青冥|兰夭 腾 馀馥|萧荣 独 欠馨
斜阳 下 凫雁|秋色 入 牛羊|不厌 鸣蜩 聒|游人 向 野塘
千岩 围 一寺|入境 便 无尘|古木 犹 知己|高崖 若 正人
震泽 烟波 迥|高秋 风雨 繁|此时 期 免患|艰苦 复 何论
居然 讼息 愧 王通|反闭 柴门 亦 古风|幽鸟 一声 庭 日永|轩窗 从此 近 卢仝
莫讶 书绅 苦|功成 在 一毫|自从 蒙管 录|便觉 用心 劳
积善 仍无 后|潜光 未有 名|安从 叩 冥漠|空复 泪 纵横
霞红 疑 太早|果不 是 晴天|市涨 危 侵户|村流 喜 入田
悠悠 往事 嗟 同气|耿耿 深怀 问 太虚|行箧 凋零 诗句 在|颍滨 消息 近 何如
五岭 经行 敢惮 劳|从前 此邑 产 贤豪|几年 始见 新 香火|占得 青天 白日 高
欲寄 音书 道路 长|霜风 惊梦 思 茫茫|惠州 此日 真 天上|却望 江南 是 故乡
风尘 消 宦兴|诗酒 固 天真|莫着 羊裘 去|烟波 泛钓 津
天末 云垂 孤塔 支|乱松 斜日 照 深悲|横流 将尽 飞涛 白|坐记 蓬莱 清浅 时
忆昨 淳熙 谨 万微|再登 耆哲 贰 繁机|谋猷 入告 宸心 沃|俊乂 旁招 物望 归
彼亦 偏裨 耳|才谞 异 客卿|居然 捐 性命|竟可 诉 神明
晴光 上 柳条|结伴 戏 花朝|歌近 舟 沿岸|人开 马 度桥
虚馆 昼 生白|飞花 照 眼明|隔帘 时有 影|著地 静无 声
石畔 葵榴 侵 客袂|门前 杨柳 系 仙舟|明朝 又趁 南池 胜|李杜 遗文 好 更求
影透 衣香 润|光凝 歌黛 愁|斜辉 犹可 玩|移宴 上 西楼
涧下 雨声 急|岩头 云色 干|归鞍 休报 晚|吾待 且 盘桓
知音 千古 本来 稀|老我 空山 乐 茹薇|鸟入 松云 深 得所|鹤盘 海屿 倦 来归
辟恶 新年 酒|芬香 到 敝庐|山颓 犹未 得|瓶泻 已无 馀
不浓 不淡 烟中 树|如有 如无 雨外 山|尺素 展看 空想 像|何由 身著 画图 间
肯信 先生 居 锦里|不将 夫子 敬 丹丘|如闻 旧按 蓬莱 节|松下 时时 省 钓游
已将 镜镊 投诸 地|喜见 苍颜 白发 新|历数 三朝 轩冕 客|色声 谁是 独完 人
叶尽 秋深 候|西风 扫屋 尘|鸟饥 空 啄树|蛩冷 渐 依人
了然 知是 梦|既觉 更 何求|死入 孤峰 去|灰飞 一烬 休
喜闻 宰相 入山 来|急唤 山童 埽 碧苔|云锁 洞天 三十 六|楼台 一一 为君 开
彼苍 诚 有感|积雨 喜 全开|十日 松间 坐|涛声 总是 哀
故园 蛱蝶 最 多种|百草 长时 花乱 开|穷巷 春风 元 不到|一双 谁遣 过墙 来
鼻绳 拽脱 了无 拘|慵有 馀兮 顽 有馀|芳草 满前 浑 不顾|眠云 卧月 只 如如
相传 此溪 胜|来渡 莫辞 频|一派 澄心 水|千年 说法 人
博浪 挥椎 处|惓惓 报国 仇|如何 销印 事|独不 为韩 谋
大蛇 中断 战 旗红|一旦 兴亡 起 沛丰|三月 灰飞 秦 事业|四方 云合 汉 英雄
自有 清香 生 陋室|独无 雅兴 叩 侯门|中年 心事 归 平淡|菜市 商场 共 比邻
节义 穷 方见|高名 荐 玉京|一封 天子 敕|千载 故乡 荣
凄凉 风雨 暗 山薇|梦里 归与 迄 未归|礼乐 不存 三代 远|江山 如故 六朝 非
扁舟 湖海 兴|斗酒 薜萝 情|那得 狂 相傍|长歌 对 月明
新知 乍 倾盖|岐路 忽 沾襟|但使 存 吾道|何须 叹 陆沉
故人 高咏 处|天地 绕 孤楼|落叶 半 山雨|凉蝉 满 树秋
沽酒 不成 醉|解衣 徒自 怜|五湖 烟水 远|未得 问 归船
底须 屏障 写 天吴|绝境 横前 与画 俱|两塔 屹波 流 不去|千帆 破浪 远 如无
湖南 驰 贼骑|江外 践 胡尘|憔悴 成 无用|虚烦 泪湿 巾
夜雨 摧 梁木|春云 掩 少微|仪形 无复 睹|哀些 泪 频挥
夜深 闲把 玉 东西|月下 楼空 画 幕垂|人似 天孙 酒 如玉|梦中 犹忆 少年 时
紫府 川妃 夜宴 还|玉盘 金椀 落 人间|香肌 不受 缁尘 污|依约 风前 响 佩环
身到 东山 稳|名依 北斗 存|龙湾 流水 急|清烈 应 高门
东郊 野马 烂 氛氲|聊驾 柴车 问讯 春|远草 绿沉 烟雾 里|高花 红照 绮罗 新
窗秋 风 猎猎|檐夜 雨 频频|蛩韵 愁 于我|灯花 笑 向人
哀鸳 何事 最 关心|今忆 前言 悟后 因|月转 蕙帏 空对 影|鸾飞 菱镜 自怜 身
诗从 上古 顺 时流|千载 何曾 有代 沟|红叶 碧波 堪作 证|白云 黄鹤 不须 愁
势激 三千 壮|年应 四十 无|遥闻 不 瞑目|非是 不怜 吴
日暮 行人 少|骊歌 促客 轮|故园 资 水岸|前路 渌 江滨
寂寥 仍 抱病|风雨 尚征 师|几许 野 花发|无穷 客泪 垂
晓来 乘兴 步 高冈|便就 幽斋 作 醉乡|邻寺 楼台 分 两面|一家 池馆 得 中央
舟小 从 波兀|桥深 爱树 遮|风烟 生 远思|何必 慕 乘槎
丈室 东移 去|南房 自 一家|树留 不尽 叶|菊有 欲残 花
欲抛 笔砚 学 从征|跨马 弯弓 事事 生|今日 都门 辞别 去|春风 一路 入 幽并
一登 快阁 情何 极|太史 骑鲸 已 上天|烟树 溟濛 秋 可画|江山 空阔 客 如仙
寒潮 带雨 催 兰桨|霜叶 随风 恋 布袍|此去 不须 寻 往迹|越王 宫殿 总 蓬蒿
我愧 非 循吏|人方 薄 腐儒|寸心 劳 抚字|不惜 白 髭须
万岭 岷峨 雪|千家 橘柚 川|还知 楚 河内|天子 许 经年
墙根 老树 碧 生苔|门卷 疏帘 一半 开|岩影 乍晴 云 欲散|雷声 忽动 雨 还来
小市 黄 茅店|孤村 白 板桥|停骖 成 一宿|客思 最 无聊
秋生 边 树暗|月在 陇 沙微|灯火 孤城 闭|萧萧 黄叶 飞
